data,indicador,valor,variacao_absoluta,variacao_percentual,media_movel_7,media_movel_30
2020-01-02,Dólar,4.0213,,,4.0213,4.0213
2020-01-03,Dólar,4.0522,0.030899999999999928,0.768408226195505,4.03675,4.03675
2020-01-06,Dólar,4.0554,0.0031999999999996476,0.07896944869452138,4.042966666666667,4.042966666666667
2020-01-07,Dólar,4.0841,0.028700000000000614,0.7076983774720214,4.05325,4.05325
2020-01-08,Dólar,4.0672,-0.01690000000000058,-0.4137998579858637,4.05604,4.05604
2020-01-09,Dólar,4.0744,0.007200000000000095,0.1770259638080196,4.0591,4.0591
2020-01-10,Dólar,4.0745,9.999999999976694e-05,0.0024543491066175704,4.0613,4.0613
2020-01-13,Dólar,4.1309,0.056400000000000006,1.384218922567193,4.076957142857142,4.07
2020-01-14,Dólar,4.1443,0.013400000000000745,0.32438451669130064,4.090114285714286,4.078255555555555
2020-01-15,Dólar,4.1622,0.017900000000000027,0.4319185387158253,4.105371428571429,4.086650000000001
2020-01-16,Dólar,4.1726,0.010399999999999743,0.24986785834413272,4.118014285714286,4.094463636363636
2020-01-17,Dólar,4.1837,0.011099999999999888,0.2660211858313666,4.134657142857143,4.1019
2020-01-20,Dólar,4.1829,-0.0007999999999999119,-0.01912182995912337,4.150157142857143,4.108130769230769
2020-01-21,Dólar,4.2014,0.018499999999999517,0.44227688923950126,4.168285714285714,4.114792857142858
2020-01-22,Dólar,4.1889,-0.01249999999999929,-0.29751987432758975,4.176571428571429,4.1197333333333335
2020-01-23,Dólar,4.1662,-0.022700000000000387,-0.5419083769008681,4.1796999999999995,4.1226375
2020-01-24,Dólar,4.1769,0.010699999999999932,0.2568287648216483,4.1818,4.125829411764705
2020-01-27,Dólar,4.2196,0.04269999999999996,1.0222892575833642,4.188514285714286,4.131038888888889
2020-01-28,Dólar,4.2064,-0.013199999999999434,-0.31282586027110426,4.191757142857143,4.135005263157895
2020-01-29,Dólar,4.2013,-0.0051000000000005485,-0.12124381894257352,4.194385714285715,4.13832
2020-01-30,Dólar,4.2523,0.051000000000000156,1.213909980244221,4.201657142857143,4.143747619047619
2020-01-31,Dólar,4.2695,0.017199999999999882,0.40448698351480683,4.213171428571429,4.149463636363636
2020-02-03,Dólar,4.2475,-0.02200000000000024,-0.5152828200023496,4.224785714285714,4.153726086956522
2020-02-04,Dólar,4.2381,-0.009399999999999409,-0.22130665097114255,4.233528571428571,4.157241666666667
2020-02-05,Dólar,4.2449,0.006800000000000139,0.16044925792217946,4.2371428571428575,4.160748
2020-02-06,Dólar,4.2477,0.0027999999999996916,0.06596150674926804,4.243042857142858,4.164092307692308
2020-02-07,Dólar,4.3076,0.05989999999999984,1.4101749181910206,4.258228571428571,4.169407407407407
2020-02-10,Dólar,4.3195,0.0118999999999998,0.27625591976969677,4.267828571428572,4.174767857142857
2020-02-11,Dólar,4.3148,-0.004699999999999704,-0.10880888991781079,4.274299999999999,4.179596551724138
2020-02-12,Dólar,4.3366,0.02179999999999982,0.5052377862241553,4.287028571428571,4.18483
2020-02-13,Dólar,4.3389,0.0022999999999999687,0.05303694138265591,4.301428571428572,4.195416666666667
2020-02-14,Dólar,4.3163,-0.02259999999999973,-0.5208693447647961,4.311628571428572,4.20422
2020-02-17,Dólar,4.3157,-0.000600000000000378,-0.013900794662102811,4.321342857142858,4.2128966666666665
2020-02-18,Dólar,4.3471,0.03140000000000054,0.7275760595036873,4.326985714285714,4.221663333333334
2020-02-19,Dólar,4.3728,0.025699999999999612,0.5911987301879362,4.3346,4.23185
2020-02-20,Dólar,4.3873,0.014499999999999957,0.33159531650202023,4.344957142857143,4.242279999999999
2020-02-21,Dólar,4.3924,0.0051000000000005485,0.11624461513917161,4.3529285714285715,4.252876666666666
2020-02-26,Dólar,4.4359,0.04349999999999987,0.990346962935984,4.366785714285714,4.263043333333333
2020-02-27,Dólar,4.4764,0.04049999999999976,0.9130052525981203,4.389657142857143,4.274113333333333
2020-02-28,Dólar,4.4987,0.02230000000000043,0.49816817085157616,4.4158,4.28533
2020-03-02,Dólar,4.4946,-0.004100000000000215,-0.0911374397048137,4.436871428571428,4.296063333333334
2020-03-03,Dólar,4.4883,-0.006300000000000416,-0.1401682018422168,4.453371428571429,4.306216666666667
2020-03-04,Dólar,4.5258,0.03750000000000053,0.8355056480181977,4.473157142857143,4.317646666666667
2020-03-05,Dólar,4.6207,0.09489999999999998,2.096866852269219,4.505771428571428,4.331623333333334
2020-03-06,Dólar,4.6459,0.02519999999999989,0.5453719133464707,4.535771428571429,4.346856666666667
2020-03-09,Dólar,4.7379,0.09199999999999964,1.9802406422867458,4.573128571428571,4.365913333333333
2020-03-10,Dólar,4.6693,-0.0686,-1.4478988581439034,4.597500000000001,4.382326666666667
2020-03-11,Dólar,4.6738,0.0045000000000001705,0.09637418885057869,4.6231,4.397466666666667
2020-03-12,Dólar,4.8833,0.20950000000000024,4.4824339937524105,4.6795285714285715,4.42003
2020-03-13,Dólar,4.7362,-0.1471,-3.0123072512440396,4.709585714285715,4.43786
2020-03-16,Dólar,4.9471,0.21089999999999964,4.4529369536759456,4.756214285714286,4.46102
2020-03-17,Dólar,5.0496,0.10250000000000004,2.0719209233692526,4.813885714285715,4.487023333333334
2020-03-18,Dólar,5.1107,0.06109999999999971,1.2099968314321918,4.867142857142857,4.515796666666668
2020-03-19,Dólar,5.1444,0.03370000000000051,0.6594008648521887,4.935014285714286,4.546006666666667
2020-03-20,Dólar,5.0248,-0.11960000000000015,-2.3248580981261258,4.985157142857142,4.572003333333333
2020-03-23,Dólar,5.0805,0.05569999999999986,1.10850183091864,5.013328571428572,4.599763333333333
2020-03-24,Dólar,5.0713,-0.009199999999999875,-0.1810845389233373,5.0611999999999995,4.62522
2020-03-25,Dólar,5.0706,-0.000700000000000145,-0.013803166840853365,5.078842857142857,4.6502566666666665
2020-03-26,Dólar,5.001,-0.06959999999999944,-1.3726186250147765,5.0719,4.67313
2020-03-27,Dólar,5.1109,0.10989999999999966,2.1975604879024058,5.071928571428572,4.698940000000001
2020-03-30,Dólar,5.1594,0.048499999999999766,0.9489522393316241,5.074071428571429,4.72629
2020-03-31,Dólar,5.1987,0.03929999999999989,0.7617164786603015,5.098914285714286,4.755703333333333
2020-04-01,Dólar,5.2404,0.041700000000000514,0.8021236078250338,5.121757142857143,4.786526666666668
2020-04-02,Dólar,5.2651,0.024700000000000166,0.4713380657965116,5.149442857142858,4.817126666666667
2020-04-03,Dólar,5.2997,0.0345999999999993,0.6571575088792025,5.182171428571428,4.848023333333333
2020-04-06,Dólar,5.2471,-0.05259999999999998,-0.9925090099439537,5.217328571428571,4.876683333333333
2020-04-07,Dólar,5.2217,-0.025399999999999423,-0.48407691867887737,5.233157142857143,4.904326666666666
2020-04-08,Dólar,5.2123,-0.009400000000000297,-0.18001800180018623,5.240714285714286,4.930206666666666
2020-04-09,Dólar,5.0779,-0.1344000000000003,-2.5785162020605212,5.223457142857143,4.950256666666666
2020-04-13,Dólar,5.1824,0.1045000000000007,2.057937336300464,5.215171428571429,4.973046666666666
2020-04-14,Dólar,5.1858,0.0034000000000000696,0.06560666872492682,5.203842857142858,4.996086666666667
2020-04-15,Dólar,5.2579,0.07209999999999983,1.390335145975552,5.197871428571429,5.021739999999999
2020-04-16,Dólar,5.2377,-0.020199999999999996,-0.3841837996158115,5.196528571428572,5.045469999999999
